business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,GoodForKids,RestaurantsGoodForGroups,BikeParking,RestaurantsTakeOut,OutdoorSeating,RestaurantsReservations,RestaurantsPriceRange2,Caters,BusinessAcceptsCreditCards,RestaurantsDelivery,HasTV,Alcohol,RestaurantsTableService,RestaurantsAttire,NoiseLevel,BYOBCorkage,ByAppointmentOnly,WheelchairAccessible,HappyHour,DogsAllowed,BusinessAcceptsBitcoin,DriveThru,GoodForDancing,Corkage,BYOB,CoatCheck,RestaurantsCounterService,DietaryRestrictions
5eq56X-e9YbAKmHgUOyXSg,Hunan Lion,2038 Crown Plaza,Columbus,OH,43220,40.0653778,-83.0714151,4,162,0,0,0,0,1,0,2,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Fl_7YDOMt58rTNHa7p2G4w,Waffle House,3085 Broadway,Urbancrest,OH,43123,39.9008549,-83.0787302,3,8,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
vecuat0jOia-CJveW3ngDw,Schmidt's Sausage Haus,240 E Kossuth St,Columbus,OH,43206,39.94626756,-82.99104359,4,1354,0,0,0,0,0,1,2,0,0,0,1,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0
ZaMMUcOIngBCgxuKxFzfqg,McDonald's,1524 Georgesville Rd,Columbus,OH,43228,39.919976,-83.1258222,2,25,1,0,0,0,1,1,1,1,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
C1Jkjsqoz1AsYJy28IosQg,La Michoacana Market,3160 S Hamilton Rd,Columbus,OH,43232,39.91213934,-82.8802344,3.5,7,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
f8V8ZAkASQCieNft2miQIQ,Solay Bistro,5786 Emporium Sq,Columbus,OH,43231,40.0864583,-82.9501165,4,30,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FrFDIPBzRbFVfanxG4wcNQ,Exotic Latin Grill,355 E Hudson St,Columbus,OH,43202,40.0147968,-83.0014099,4.5,101,0,0,0,0,0,1,1,0,1,1,1,1,1,0,2,0,1,1,1,0,1,0,0,0,0,0,0,0
P0l1XH6KHqo6rk-R03SDXA,White Castle,1620 Stringtown Rd,Grove City,OH,43123,39.879124,-83.04617,3.5,19,0,0,1,0,1,1,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
PDwWsE6XYJPR83HrBSDFIg,Pablo's Havana Cafe,9685 Sawmill Rd,Powell,OH,43065,40.1575346,-83.08787,4.5,130,0,0,0,0,0,1,2,0,0,0,0,1,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0
fRi0NgK65Inn8x9Pak9yMg,Spicy Cup Cafe & Bakery,1977 Dublin Granville Rd,Columbus,OH,43229,40.0858653,-82.9649575,4,30,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
